id,category,query,answer,expected_answer,faithfulness,faithfulness_notes,relevance,relevance_notes,context_recall,context_recall_notes,completeness,completeness_notes,config_label
q01,SLA,SLA xử lý ticket P1 là bao lâu?,SLA xử lý và khắc phục ticket P1 là 4 giờ. Phản hồi ban đầu trong 15 phút kể từ khi ticket được tạo. [1],Ticket P1 có SLA phản hồi ban đầu 15 phút và thời gian xử lý (resolution) là 4 giờ.,5,Heuristic grounded token ratio: 1.00,5,Heuristic query-answer token overlap: 0.50,5,Retrieved: 1/1 expected sources,4,Heuristic expected-answer keyword overlap: 0.73,variant_hybrid
q02,Refund,Khách hàng có thể yêu cầu hoàn tiền trong bao nhiêu ngày?,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng. [1],Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.,5,Heuristic grounded token ratio: 1.00,5,Heuristic query-answer token overlap: 0.82,5,Retrieved: 1/1 expected sources,5,Heuristic expected-answer keyword overlap: 1.00,variant_hybrid
q03,Access Control,Ai phải phê duyệt để cấp quyền Level 3?,Level 3 cần phê duyệt bởi Line Manager + IT Admin + IT Security. [1],"Level 3 (Elevated Access) cần phê duyệt từ Line Manager, IT Admin, và IT Security.",5,Heuristic grounded token ratio: 1.00,5,Heuristic query-answer token overlap: 0.50,5,Retrieved: 1/1 expected sources,5,Heuristic expected-answer keyword overlap: 0.80,variant_hybrid
q04,Refund,Sản phẩm kỹ thuật số có được hoàn tiền không?,Không. Sản phẩm kỹ thuật số như license key hoặc subscription thuộc ngoại lệ không được hoàn tiền. [1],"Không. Theo chính sách hoàn tiền, sản phẩm thuộc danh mục hàng kỹ thuật số (license key, subscription) là ngoại lệ không được hoàn tiền.",5,Heuristic grounded token ratio: 1.00,5,Heuristic query-answer token overlap: 1.00,5,Retrieved: 1/1 expected sources,4,Heuristic expected-answer keyword overlap: 0.67,variant_hybrid
q05,IT Helpdesk,Tài khoản bị khóa sau bao nhiêu lần đăng nhập sai?,Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp. [1],Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp.,5,Heuristic grounded token ratio: 1.00,5,Heuristic query-answer token overlap: 0.80,5,Retrieved: 1/1 expected sources,5,Heuristic expected-answer keyword overlap: 1.00,variant_hybrid
q06,SLA,Escalation trong sự cố P1 diễn ra như thế nào?,"Trong sự cố P1, escalation diễn ra như sau:

- Ticket P1 sẽ tự động escalate lên Senior Engineer nếu không có phản hồi trong 10 phút [3].
- Trong quá trình xử lý, nếu engineer cần hỗ trợ thêm thì phải escalate ngay [2].
- Nếu cần thay đổi quyền hệ thống khẩn cấp, On-call IT Admin có thể cấp quyền tạm thời tối đa 24 giờ sau khi được Tech Lead phê duyệt bằng lời; sau đó phải có ticket chính thức hoặc quyền bị thu hồi tự động [1].",Ticket P1 tự động escalate lên Senior Engineer nếu không có phản hồi trong 10 phút sau khi tạo ticket.,5,Heuristic grounded token ratio: 0.97,5,Heuristic query-answer token overlap: 0.67,5,Retrieved: 1/1 expected sources,5,Heuristic expected-answer keyword overlap: 0.93,variant_hybrid
q07,Access Control,Approval Matrix để cấp quyền hệ thống là tài liệu nào?,Approval Matrix để cấp quyền hệ thống là `it/access-control-sop.md` — tài liệu quy định quy trình cấp phép truy cập vào các hệ thống nội bộ của công ty. [1],Tài liệu 'Approval Matrix for System Access' hiện tại có tên mới là 'Access Control SOP' (access-control-sop.md).,4,Heuristic grounded token ratio: 0.73,5,Heuristic query-answer token overlap: 0.88,5,Retrieved: 1/1 expected sources,3,Heuristic expected-answer keyword overlap: 0.36,variant_hybrid
q08,HR Policy,Nhân viên được làm remote tối đa mấy ngày mỗi tuần?,Nhân viên sau probation period được làm remote tối đa 2 ngày mỗi tuần. Lịch remote cần được Team Lead phê duyệt qua HR Portal. [1],"Nhân viên sau probation period có thể làm remote tối đa 2 ngày/tuần, với điều kiện được Team Lead phê duyệt.",5,Heuristic grounded token ratio: 1.00,5,Heuristic query-answer token overlap: 0.90,5,Retrieved: 1/1 expected sources,5,Heuristic expected-answer keyword overlap: 0.79,variant_hybrid
q09,Insufficient Context,ERR-403-AUTH là lỗi gì và cách xử lý?,Tôi không biết. Ngữ cảnh được cung cấp không có thông tin về lỗi `ERR-403-AUTH` hoặc cách xử lý lỗi này.,"Không tìm thấy thông tin về ERR-403-AUTH trong tài liệu hiện có. Đây có thể là lỗi liên quan đến xác thực (authentication), hãy liên hệ IT Helpdesk.",2,Heuristic grounded token ratio: 0.33,3,Answer abstains; manually verify this is expected for the query,,No expected sources,5,Expected answer is abstain; scored abstain behavior,variant_hybrid
q10,Refund,"Nếu cần hoàn tiền khẩn cấp cho khách hàng VIP, quy trình có khác không?","Tôi không biết. Ngữ cảnh chỉ nêu quy trình hoàn tiền chung và thời gian xử lý, không đề cập quy trình khẩn cấp hoặc ngoại lệ cho khách hàng VIP [2].","Tài liệu chính sách hoàn tiền không đề cập đến quy trình đặc biệt cho khách hàng VIP. Theo chính sách hiện hành, tất cả yêu cầu hoàn tiền đều theo cùng quy trình tiêu chuẩn trong 3-5 ngày làm việc.",3,Heuristic grounded token ratio: 0.50,5,Heuristic query-answer token overlap: 0.79,5,Retrieved: 1/1 expected sources,2,Heuristic expected-answer keyword overlap: 0.31,variant_hybrid
